zip_code,vulnerability_index,vulnerability_theme1_socioeconomic,vulnerability_theme2_household,vulnerability_theme3_minority,vulnerability_theme4_housing,healthcare_access_score,telehealth_access_score
11222,0.00637,0.006468000000000001,0.001248,0.007414,0.008091000000000001,0.927,0.94
11223,0.009587,0.009679,0.008991,0.008727,0.008655000000000001,0.941,0.882
11224,0.00992,0.009713000000000001,0.009982999999999999,0.008754999999999999,0.009202,0.95,0.776
11225,0.008538,0.008905,0.0031569999999999997,0.00933,0.008342,0.941,0.873
11226,0.00922,0.009300000000000001,0.004536,0.009639,0.009692,0.909,0.848
11228,0.008945,0.008979000000000001,0.006427,0.008693,0.008154,0.941,0.924
11229,0.009054,0.008274,0.008945999999999999,0.008389,0.008011,0.951,0.866
11230,0.009701999999999999,0.009518,0.009379,0.008282000000000001,0.009687,0.929,0.835
11231,0.007866999999999999,0.007208,0.005442,0.008192,0.007725999999999999,0.953,0.909
11232,0.009461,0.009794,0.003835,0.009442,0.009954,0.88,0.897
11233,0.009438,0.009541,0.007613,0.009673000000000001,0.008866,0.931,0.824
11234,0.008951,0.007552,0.008889000000000001,0.009144,0.008405000000000001,0.957,0.904
11235,0.009524,0.009094,0.009179,0.007623,0.009732,0.919,0.867
11236,0.009117,0.008773,0.007698,0.009848,0.008291,0.94,0.89
11237,0.009415,0.009839,0.003778,0.00938,0.009818,0.879,0.888
11238,0.007076,0.005528,0.001573,0.008772,0.009481,0.964,0.916
11239,0.009845,0.008968,0.009989,0.009594,0.009658,0.976,0.804
11249,0.008555,0.008394,0.005356,0.008095999999999999,0.008279,0.969,0.832
11354,0.009404000000000001,0.009455,0.0050539999999999995,0.009623,0.009875,0.881,0.842
11355,0.009495,0.009874,0.004912000000000001,0.009775,0.009459,0.853,0.802
11356,0.008899,0.009484,0.007641,0.009396999999999999,0.005926,0.914,0.901
11357,0.008561,0.007976,0.008034,0.008439,0.007407,0.966,0.895
11358,0.008876,0.009163,0.004895,0.009239,0.008182,0.922,0.908
11359,-9.99,-9.99,-9.99,-9.99,-9.99,1.0,10.99
11360,0.007517,0.00586,0.008194,0.008485,0.00641,0.952,0.904
11361,0.008532,0.006674,0.007345000000000001,0.009048,0.008769,0.946,0.9259999999999999
11362,0.0061470000000000006,0.003951,0.005607,0.009082,0.006177,0.97,0.913
11363,0.007987,0.007317000000000001,0.006928999999999999,0.008642,0.007066,0.942,0.966
11364,0.008239999999999999,0.0068920000000000006,0.0068379999999999995,0.009245,0.007875,0.942,0.909
11365,0.009077,0.008492,0.007481,0.009454,0.008536,0.949,0.945
11366,0.008102,0.0075,0.005869,0.009194,0.007379,0.9299999999999999,0.941
11367,0.009547,0.00883,0.009071000000000001,0.008963,0.009823,0.943,0.878
11368,0.009633000000000001,0.009667,0.008046,0.009831,0.009356,0.766,0.8180000000000001
