zip_code,population_density,population_density_norm,bird_density,bird_density_norm,water_proximity,water_proximity_norm,healthcare_capacity,healthcare_capacity_norm,vulnerability_index,vulnerability_index_norm,risk_score,risk_category
10472,15105.046563505839,0.3971878986841831,3041.0,1.0,1.0,1.0,0.877,0.12036108324974926,0.009937,0.9936999999999999,0.7610180829960207,Very High
10473,6410.536187184907,0.1685653458214779,3041.0,1.0,1.0,1.0,0.946,0.051153460381143434,0.009868,0.9868,0.6965966824934839,High
10474,1726.7690398692598,0.045405471845125604,3041.0,1.0,1.0,1.0,0.914,0.0832497492477432,0.00996,0.996,0.6694763428860557,High
11103,11625.06724283435,0.305681681339487,2239.0,0.736270963498849,0.33386421289374524,0.33386421289374524,0.897,0.1003009027081243,0.008159,0.8159,0.508647076114228,High
10475,4931.970917163736,0.12968640359524372,3041.0,1.0,1.0,1.0,0.953,0.0441323971915748,0.009799,0.9799,0.6858298406179685,High
11201,11023.899376119749,0.2898739444528153,2308.0,0.7589608681354818,1.0,1.0,0.974,0.02306920762286868,0.006233,0.6233,0.5974727975364575,High
11203,8459.445585850854,0.2224415133148351,2308.0,0.7589608681354818,0.423951748065147,0.423951748065147,0.941,0.05616850551654973,0.009386,0.9386,0.5132823817511026,High
11204,12005.33950246235,0.3156809580113277,2308.0,0.7589608681354818,0.030148466352610703,0.030148466352610703,0.929,0.06820461384152454,0.009553,0.9553,0.4795603615008428,Medium
11205,11893.648606862682,0.31274404074074036,2308.0,0.7589608681354818,1.0,1.0,0.965,0.032096288866599876,0.009427,0.9427,0.6200630297328119,High
11206,14156.096938486931,0.37223522436214357,2308.0,0.7589608681354818,1.0,1.0,0.941,0.05616850551654973,0.009679,0.9679,0.6386030473031576,High
11207,8345.878167065752,0.21945525278021205,2308.0,0.7589608681354818,1.0,1.0,0.94,0.0571715145436309,0.009839,0.9839,0.601308355310383,High
11209,7572.7972789852165,0.19912705503791112,2308.0,0.7589608681354818,1.0,1.0,0.945,0.052156469408224715,0.008865,0.8865,0.5908548013612671,High
11208,6145.692515166252,0.16160126920465762,2308.0,0.7589608681354818,1.0,1.0,0.944,0.053159478435305996,0.009581,0.9581,0.5851536558056618,High
11210,8506.965177873255,0.22369104318701094,2308.0,0.7589608681354818,0.3990543083750707,0.3990543083750707,0.949,0.0481444332998997,0.009174,0.9174,0.5079977410439701,High
11211,6616.048009626667,0.17396928870687173,2308.0,0.7589608681354818,1.0,1.0,0.94,0.0571715145436309,0.009042,0.9042,0.5859518642920478,High
11212,13207.697854947924,0.3472970265538057,2308.0,0.7589608681354818,1.0,1.0,0.927,0.07021063189568699,0.009948,0.9948,0.635117710488987,High
11213,13667.96517453784,0.3593997770307621,2308.0,0.7589608681354818,0.4322780682145053,0.4322780682145053,0.933,0.06419257773319953,0.009805,0.9804999999999999,0.551668302924153,High
11218,12224.874059789343,0.3214536293597193,2308.0,0.7589608681354818,0.9376571807242873,0.9376571807242873,0.954,0.04312938816449352,0.009197,0.9197,0.6128423139259891,High
11214,9932.166246642339,0.2611667712707952,2308.0,0.7589608681354818,1.0,1.0,0.905,0.0922768304914744,0.009685,0.9684999999999999,0.614476766527813,High
11215,6817.914372703869,0.17927737406950583,2308.0,0.7589608681354818,1.0,1.0,0.973,0.02407221664994985,0.005728,0.5728,0.5673989558433382,High
11216,14511.764882128762,0.381587529406057,2308.0,0.7589608681354818,0.7902530100582787,0.7902530100582787,0.94,0.0571715145436309,0.008297,0.8297,0.602669375975586,High
11217,12486.217534574596,0.3283256681282436,2308.0,0.7589608681354818,1.0,1.0,0.972,0.025075225677031132,0.007231,0.7231,0.6122763302607309,High
11219,15504.695390707224,0.40769668309741525,2308.0,0.7589608681354818,0.8722007035990035,0.8722007035990035,0.938,0.05917753259779346,0.00949,0.949,0.6276544202349505,High
11220,13534.789776575282,0.3558979237759052,2308.0,0.7589608681354818,1.0,1.0,0.884,0.11334002006018051,0.009662,0.9662000000000001,0.6401508736109611,High
11221,14295.12998942262,0.37589110487311234,2308.0,0.7589608681354818,0.8628061833102819,0.8628061833102819,0.916,0.08124373119358075,0.009352,0.9351999999999999,0.6198104674951453,High
11222,6081.516226474591,0.1599137507224323,2308.0,0.7589608681354818,1.0,1.0,0.927,0.07021063189568699,0.00637,0.637,0.5703818915311437,High
11223,8972.594007122334,0.23593477480866926,2308.0,0.7589608681354818,0.9681745798783827,0.9681745798783827,0.941,0.05616850551654973,0.009587,0.9587,0.5992941218965464,High
11224,6412.068915059744,0.16860564897190525,2308.0,0.7589608681354818,1.0,1.0,0.95,0.04714142427281853,0.00992,0.992,0.587997945331225,High
11225,14756.713078458371,0.38802845356856136,2308.0,0.7589608681354818,0.9678418154111199,0.9678418154111199,0.941,0.05616850551654973,0.008538,0.8538,0.6320226269164301,High
11226,17508.076818549773,0.46037569049022764,2308.0,0.7589608681354818,0.925106444772448,0.925106444772448,0.909,0.08826479438314938,0.00922,0.922,0.6503187594377059,High
11228,6938.587815845954,0.18245048784357323,2308.0,0.7589608681354818,1.0,1.0,0.941,0.05616850551654973,0.008945,0.8945,0.5874868631735151,High
11230,11037.161092548697,0.29022266190027324,2308.0,0.7589608681354818,0.2936346405674737,0.2936346405674737,0.929,0.06820461384152454,0.009702,0.9702000000000001,0.5134637136053086,High
11415,7379.470390728031,0.1940435155610092,2239.0,0.736270963498849,1.0,1.0,0.953,0.0441323971915748,0.008761,0.8761,0.5780510521838919,High
11229,8620.75908572579,0.22668325926214758,2308.0,0.7589608681354818,1.0,1.0,0.951,0.04613841524573725,0.009054,0.9054,0.5980870470010774,High
11231,5901.598748652916,0.15518281231372846,2308.0,0.7589608681354818,1.0,1.0,0.953,0.0441323971915748,0.007867,0.7867000000000001,0.5740763334585565,High
11358,4592.018707790789,0.12074734451149952,2239.0,0.736270963498849,0.9431341817809278,0.9431341817809278,0.922,0.07522567703109329,0.008876,0.8876000000000001,0.5548814646726055,High
11232,6078.690785998339,0.15983945563430385,2308.0,0.7589608681354818,1.0,1.0,0.88,0.11735205616850553,0.009461,0.9461,0.5905324601863934,High
11233,12413.404243981757,0.3264110392811718,2308.0,0.7589608681354818,0.5604859805643367,0.5604859805643367,0.931,0.06619859578736198,0.009438,0.9438,0.5610179071446465,High
11234,2873.6428461741607,0.07556257167709385,2308.0,0.7589608681354818,1.0,1.0,0.957,0.04012036108324979,0.008951,0.8951,0.5591900696885652,High
11235,8779.559100999457,0.23085891301550648,2308.0,0.7589608681354818,1.0,1.0,0.919,0.07823470411233702,0.009524,0.9523999999999999,0.6046905893260771,High
11236,6431.257173688249,0.16911020512087324,2308.0,0.7589608681354818,1.0,1.0,0.94,0.0571715145436309,0.009117,0.9117,0.5851120933955483,High
11237,11161.672181611268,0.2934966867514858,2308.0,0.7589608681354818,1.0,1.0,0.879,0.1183550651955868,0.009415,0.9415,0.6238170688683969,High
11238,12066.030084003292,0.3172768196626521,2308.0,0.7589608681354818,1.0,1.0,0.964,0.033099297893681046,0.007076,0.7076,0.6095415253659978,High
11239,9098.215708650217,0.2392380032660737,2308.0,0.7589608681354818,1.0,1.0,0.976,0.02106318956870612,0.009845,0.9844999999999999,0.6026732104343558,High
11354,6177.09199971513,0.16242692010452753,2239.0,0.736270963498849,1.0,1.0,0.881,0.11634904714142424,0.009404,0.9403999999999999,0.5805835683147563,High
11355,11351.606534880246,0.29849101936381345,2239.0,0.736270963498849,0.9404314678478999,0.9404314678478999,0.853,0.1444332998996991,0.009495,0.9495,0.6089277385825904,High
11356,3967.328792266538,0.10432109426241128,2239.0,0.736270963498849,1.0,1.0,0.914,0.0832497492477432,0.008899,0.8899,0.5602221820648592,High
11357,3328.942076480863,0.08753468601634766,2239.0,0.736270963498849,1.0,1.0,0.966,0.031093279839518595,0.008561,0.8560999999999999,0.5491199330625209,High
11360,2700.7757068031474,0.07101702224434965,2239.0,0.736270963498849,1.0,1.0,0.952,0.04513540621865597,0.007517,0.7517,0.5411747297574351,High
11372,20353.420521546024,0.5351941348873334,2239.0,0.736270963498849,0.6623154728451893,0.6623154728451893,0.89,0.10732196589769305,0.009255,0.9254999999999999,0.621474984812863,High
11361,3610.2881013610854,0.09493269276564877,2239.0,0.736270963498849,1.0,1.0,0.946,0.051153460381143434,0.008532,0.8532,0.5528304528040087,High
11362,1578.960165693715,0.04151883065578302,2239.0,0.736270963498849,1.0,1.0,0.97,0.027081243731193583,0.006147,0.6146999999999999,0.5251447656115472,High
11416,9462.550537234003,0.24881820445077427,2239.0,0.736270963498849,0.23832699965293525,0.23832699965293525,0.902,0.09528585757271812,0.008922,0.8921999999999999,0.48341412039238774,Medium
11363,1877.6411095830158,0.04937265990295785,2239.0,0.736270963498849,1.0,1.0,0.942,0.055165496489468446,0.007987,0.7987,0.5391166481991684,High
11364,3317.075611610998,0.08722265677322977,2239.0,0.736270963498849,1.0,1.0,0.942,0.055165496489468446,0.00824,0.8240000000000001,0.5498441474167364,High
11373,15334.252625411418,0.4032148826932164,2239.0,0.736270963498849,0.6868410734866814,0.6868410734866814,0.845,0.15245737211634902,0.009432,0.9431999999999999,0.5975575524824233,High
11365,4126.584839033594,0.10850873938500107,2239.0,0.736270963498849,1.0,1.0,0.949,0.0481444332998997,0.009077,0.9077,0.5586485617507223,High
11366,2917.877285385127,0.07672571830400494,2239.0,0.736270963498849,1.0,1.0,0.93,0.06720160481444326,0.008102,0.8101999999999999,0.5477335236319276,High
11367,3722.1287707008655,0.09787354834366623,2239.0,0.736270963498849,1.0,1.0,0.943,0.054162487462387165,0.009547,0.9547,0.5589415694066373,High
11374,11141.67237136245,0.2929707908150905,2239.0,0.736270963498849,0.5532527573058743,0.5532527573058743,0.938,0.05917753259779346,0.008578,0.8578,0.5363602981339152,High
11368,9723.678564120268,0.25568457800682043,2239.0,0.736270963498849,1.0,1.0,0.766,0.23169508525576732,0.009633,0.9632999999999999,0.616577586601764,High
11417,6232.475509421347,0.16388323205626384,2239.0,0.736270963498849,0.8393242027821053,0.8393242027821053,0.921,0.07622868605817446,0.008968,0.8968,0.5506542406116812,High
11369,4132.763056658372,0.10867119590346873,2239.0,0.736270963498849,1.0,1.0,0.87,0.127382146439318,0.009604,0.9603999999999999,0.569247947194281,High
11370,5232.0531899601565,0.13757708085090659,2559.800048828125,0.8417625941559109,1.0,1.0,0.925,0.07221664994984955,0.009214,0.9214,0.6164791025778715,High
11375,8143.8120110021855,0.21414191385175194,2239.0,0.736270963498849,0.9734386145350862,0.9734386145350862,0.963,0.034102306920762326,0.007322,0.7322000000000001,0.5708934349097593,High
11379,4049.1098848886563,0.10647153187901247,2239.0,0.736270963498849,0.5921730611874013,0.5921730611874013,0.951,0.04613841524573725,0.008664,0.8664,0.49469961724691913,Medium
11377,7961.884453950144,0.2093581203166279,2239.0,0.736270963498849,0.5076602589518635,0.5076602589518635,0.925,0.07221664994984955,0.009019,0.9018999999999999,0.5121271674914035,High
